League,Season,Variant,N,OddsWeight,ModelWeight,StreckMeasured,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U
E2,2425,odds_only,264,1.0,0.0,False,0.48484848484848486,1.02087702931581,0.6123597741992345,0.6098484848484849,0.264219205183164,0.23484848484848486,0.18084439954178924,0.0,0.0,0.0,0.0,0.0,0.0
E2,2425,model_only,264,0.0,1.0,False,0.4696969696969697,1.0388239779220445,0.6247450926847876,0.5946969696969697,0.28542372135472843,0.23484848484848486,0.1802544373513499,0.01794694860623447,-0.005755929755575329,0.042311702609461446,0.012385318485553132,-0.004578891269050814,0.029846036587212327
E2,2425,production_blend,264,0.5882352941176471,0.4117647058823529,False,0.48484848484848486,1.0233098592827816,0.6140028141549849,0.5795454545454546,0.2729504765479258,0.23484848484848486,0.18017544808599487,0.0024328299669715836,-0.007488824168458069,0.012402572683963562,0.001643039955750436,-0.005464450978138305,0.008832439023725701
E2,2526,odds_only,552,1.0,0.0,False,0.5036231884057971,1.0188450943720486,0.6096793184986857,0.49094202898550726,0.26534579440493977,0.25181159420289856,0.1868169026678719,0.0,0.0,0.0,0.0,0.0,0.0
E2,2526,model_only,552,0.0,1.0,False,0.4927536231884058,1.0369253773604061,0.6227387718780126,0.4076086956521739,0.26437454453190046,0.25181159420289856,0.18870160114415616,0.01808028298835751,0.0051640864051779815,0.03169160547686203,0.013059453379326902,0.004043228109277486,0.02257371308508237
E2,2526,production_blend,552,0.5882352941176471,0.4117647058823529,False,0.5018115942028986,1.0231906847720174,0.6128051496295989,0.41847826086956524,0.26494586798662956,0.25181159420289856,0.1874367852801708,0.004345590399968735,-0.001049562091516454,0.010051948171777191,0.003125831130913137,-0.00052585863052437,0.006957641715446655
E3,2425,odds_only,264,1.0,0.0,False,0.42045454545454547,1.065091484313346,0.6416599097408797,0.5871212121212122,0.2725809610375849,0.29924242424242425,0.20816681368120601,0.0,0.0,0.0,0.0,0.0,0.0
E3,2425,model_only,264,0.0,1.0,False,0.4090909090909091,1.0725294965814858,0.6474313339140659,0.5757575757575758,0.28658255205064687,0.29924242424242425,0.20799387103647074,0.007438012268139671,-0.012353926532365599,0.0282542627302746,0.005771424173186213,-0.007950618989680348,0.020531961936297836
E3,2425,production_blend,264,0.5882352941176471,0.4117647058823529,False,0.42803030303030304,1.0647159927473904,0.6414127307081747,0.5416666666666666,0.27834632204296333,0.29924242424242425,0.2077882668179375,-0.0003754915659557323,-0.008442659489010329,0.008133314862975976,-0.00024717903270499164,-0.005827071351192698,0.0056881145835926536
E3,2526,odds_only,552,1.0,0.0,False,0.5036231884057971,1.0218218486872064,0.6136693120685379,0.5561594202898551,0.2666889601557927,0.24818840579710144,0.18749875001455926,0.0,0.0,0.0,0.0,0.0,0.0
E3,2526,model_only,552,0.0,1.0,False,0.5036231884057971,1.0374745959584846,0.623418366457924,0.4221014492753623,0.2633590825830967,0.24818840579710144,0.1869269400886042,0.01565274727127819,0.0026615954048885004,0.028841454602683208,0.009749054389386114,0.0005104369099685785,0.018998649183070544
E3,2526,production_blend,552,0.5882352941176471,0.4117647058823529,False,0.5181159420289855,1.0253502847899798,0.6156444166919222,0.4601449275362319,0.26531783409644727,0.24818840579710144,0.18710188994699084,0.0035284361027734246,-0.00189750562172325,0.008939412123675926,0.0019751046233842384,-0.0018990238143664073,0.0057514224500786176
