Fold,Train_N,Test_N,Paired_N,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
2,2036,1055,1055,base/league_onehot,base,league_onehot,1055,0.4606635071090047,1.0511874022585057,0.6332781912510023,0.437914691943128,0.2662994763902979,0.25497630331753557,0.19044999957833975,0.014492591291795032,0.0028002663628216074,0.026595732797132458,0.009700255079642561,0.0014490528471383878,0.01814780008463808,0.0007849574122968939,-0.0005687897666609987,0.002168205772675258,0.0006050487338300492,-0.00033041476134784974,0.001541910820883421,0.0008849338401044626,-0.0003784926067802563,0.0020917047228530983,0.0006947392639214955,-0.00017959343274195628,0.0015367007819423698
2,2036,1055,1055,with_odds/league_none,with_odds,league_none,1055,0.4758293838862559,1.040577785125753,0.6254375738434209,0.5327014218009478,0.2674352308394958,0.25497630331753557,0.19049906302395886,0.003882974159042263,-0.0018658845878498141,0.010018429091474355,0.0018596376720612096,-0.001956564288569726,0.005809480560128208,0.0,0.0,0.0,0.0,0.0,0.0,-5.0346164268244564e-05,-0.00019166989230464114,8.60034792450004e-05,-3.5161414093876076e-05,-0.0001308507222316596,6.0457598664487294e-05
2,2036,1055,1055,with_odds/league_ordinal,with_odds,league_ordinal,1055,0.4767772511848341,1.0406281312900212,0.6254727352575148,0.5270142180094787,0.26743582856012815,0.25497630331753557,0.19048717638175242,0.003933320323310507,-0.0017881332826155615,0.010035929911592903,0.0018947990861550856,-0.0019221969138972673,0.005845824972387256,5.0346164268244564e-05,-8.60034792450004e-05,0.00019166989230464085,3.5161414093876076e-05,-6.04575986644873e-05,0.0001308507222316596,0.0,0.0,0.0,0.0,0.0,0.0
2,2036,1055,1055,with_odds/league_onehot,with_odds,league_onehot,1055,0.4758293838862559,1.040424841512981,0.6254233266302468,0.5289099526066351,0.26759543551734705,0.25497630331753557,0.19041473256291744,0.003730030546270413,-0.0019106301026214855,0.0096994941169525,0.0018453904588870973,-0.0019871366939563486,0.0057066032348606285,-0.00015294361277184976,-0.001177581631654312,0.0008646152085033053,-1.4247213174112261e-05,-0.0007025843484610966,0.0006898037363479317,-0.00020328977704009432,-0.0012213525101391009,0.0007911643049032353,-4.9408627267988336e-05,-0.0007234235698504538,0.0006378343906978472
3,3091,981,981,Odds,reference,odds,981,0.5045871559633027,1.0139868644714212,0.6083002462942412,0.564729867482161,0.25821483331264766,0.2619775739041794,0.1939783311400667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3,3091,981,981,base/league_none,base,league_none,981,0.48623853211009177,1.0390942011587998,0.625066094454018,0.37003058103975534,0.2591847276357633,0.2619775739041794,0.19359900085144366,0.025107336687378634,0.01405723070508833,0.036353974855982935,0.016765848159776775,0.008967510501734267,0.024556044208523493,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043629757665497593,-0.0008816081251051156,1.698352084588078e-05,-0.00036037387408371924,-0.0006684223601806455,-4.30768305238195e-05
3,3091,981,981,base/league_ordinal,base,league_ordinal,981,0.4872579001019368,1.0395304987354548,0.6254264683281017,0.37104994903160043,0.25971037341982994,0.2619775739041794,0.1935939041832664,0.02554363426403361,0.014566802290744385,0.03664796670075205,0.017126222033860494,0.009407693370927575,0.02502240094342278,0.00043629757665497593,-1.698352084588128e-05,0.0008816081251051155,0.00036037387408371924,4.307683052381939e-05,0.000668422360180645,0.0,0.0,0.0,0.0,0.0,0.0
3,3091,981,981,base/league_onehot,base,league_onehot,981,0.4892966360856269,1.038913686100718,0.6249922512851687,0.3781855249745158,0.2599990546849668,0.2619775739041794,0.1935931975342131,0.024926821629296825,0.013983042698440718,0.036004576811590604,0.01669200499092749,0.009044168113326728,0.024527865807558752,-0.00018051505808180934,-0.0012727523115498185,0.0009811247963892428,-7.384316884928577e-05,-0.000855325623691025,0.0007447626603932129,-0.0006168126347367853,-0.001650084959108572,0.0005001126490811801,-0.000434217042933005,-0.0011768618733547925,0.00038698381300235866
3,3091,981,981,with_odds/league_none,with_odds,league_none,981,0.4943934760448522,1.0201381358223394,0.6125707699684652,0.5056065239551478,0.25876041906378056,0.2619775739041794,0.1934493346961187,0.006151271350918197,-0.0005162982627027358,0.012816363178177713,0.0042705236742239805,-0.00023910728026059472,0.008820848762257675,0.0,0.0,0.0,0.0,0.0,0.0,2.0978350856237782e-05,-0.0001582997833631472,0.00020989863926511554,4.451179922981829e-06,-0.00012419558630223093,0.00013839877188981387
3,3091,981,981,with_odds/league_ordinal,with_odds,league_ordinal,981,0.4984709480122324,1.0201171574714831,0.6125663187885422,0.5066258919469928,0.25879761019179726,0.2619775739041794,0.1934487118051835,0.006130293000061959,-0.0005008618414294341,0.012824805616521228,0.004266072494300999,-0.00030517802838695427,0.008811760244327043,-2.0978350856237782e-05,-0.00020989863926511586,0.0001582997833631471,-4.451179922981829e-06,-0.00013839877188981387,0.00012419558630223076,0.0,0.0,0.0,0.0,0.0,0.0
3,3091,981,981,with_odds/league_onehot,with_odds,league_onehot,981,0.49133537206931704,1.0203721486015445,0.6126797761771555,0.4984709480122324,0.25893223805478316,0.2619775739041794,0.19338893722577624,0.006385284130123292,-0.00021736434501690158,0.013065603197846117,0.004379529882914346,-0.00015410483132522466,0.008999797815063422,0.000234012779205095,-0.0005654372076522418,0.001008149247674044,0.00010900620869036537,-0.00045199974969696853,0.0006502460302319961,0.0002549911300613328,-0.0005408437913994923,0.0010347041477281993,0.0001134573886133472,-0.00042267645425161644,0.000643230159026209
