Source,Selection,Tau,TauLabel,IsCurrentRule,Coupons_N,MeanCorrect,MedianCorrect,Correct,Coupons_with_Correct,Share
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,6,27,0.11842105263157894
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,7,39,0.17105263157894737
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,8,59,0.25877192982456143
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,9,40,0.17543859649122806
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,10,30,0.13157894736842105
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,11,21,0.09210526315789473
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,12,3,0.013157894736842105
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,13,1,0.0043859649122807015
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,0,0,0.0
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,1,0,0.0
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,2,0,0.0
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,3,1,0.0043859649122807015
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,4,1,0.0043859649122807015
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,5,8,0.03508771929824561
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,6,16,0.07017543859649122
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,7,36,0.15789473684210525
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,8,40,0.17543859649122806
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,9,57,0.25
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,10,38,0.16666666666666666
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,11,25,0.10964912280701754
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,12,6,0.02631578947368421
odds_only,top7of13,0.3,0.30,False,228,8.574561403508772,9.0,13,0,0.0
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,0,0,0.0
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,1,0,0.0
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,2,0,0.0
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,3,1,0.0043859649122807015
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,4,1,0.0043859649122807015
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,5,9,0.039473684210526314
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,6,17,0.07456140350877193
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,7,37,0.16228070175438597
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,8,35,0.15350877192982457
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,9,58,0.2543859649122807
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,10,39,0.17105263157894737
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,11,25,0.10964912280701754
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,12,6,0.02631578947368421
odds_only,top7of13,1.0,1.00,True,228,8.56140350877193,9.0,13,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,0,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,1,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,2,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,3,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,4,0,0.0
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,5,1,0.0043859649122807015
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,6,3,0.013157894736842105
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,7,18,0.07894736842105263
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,8,32,0.14035087719298245
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,9,51,0.2236842105263158
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,10,56,0.24561403508771928
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,11,40,0.17543859649122806
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,12,22,0.09649122807017543
production_blend,all,0.0,0.00,False,228,9.618421052631579,10.0,13,5,0.021929824561403508
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,0,0,0.0
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,1,0,0.0
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,2,0,0.0
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,3,0,0.0
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,4,0,0.0
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,5,1,0.0043859649122807015
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,6,3,0.013157894736842105
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,7,18,0.07894736842105263
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,8,32,0.14035087719298245
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,9,51,0.2236842105263158
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,10,56,0.24561403508771928
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,11,40,0.17543859649122806
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,12,22,0.09649122807017543
production_blend,all,0.1,0.10,False,228,9.618421052631579,10.0,13,5,0.021929824561403508
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,0,0,0.0
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,1,0,0.0
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,2,0,0.0
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,3,0,0.0
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,4,0,0.0
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,5,1,0.0043859649122807015
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,6,3,0.013157894736842105
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,7,18,0.07894736842105263
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,8,32,0.14035087719298245
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,9,51,0.2236842105263158
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,10,56,0.24561403508771928
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,11,40,0.17543859649122806
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,12,22,0.09649122807017543
production_blend,all,0.15,0.15,False,228,9.618421052631579,10.0,13,5,0.021929824561403508
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,0,0,0.0
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,1,0,0.0
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,2,0,0.0
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,3,0,0.0
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,4,0,0.0
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,5,1,0.0043859649122807015
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,6,3,0.013157894736842105
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,7,18,0.07894736842105263
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,8,32,0.14035087719298245
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,9,51,0.2236842105263158
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,10,56,0.24561403508771928
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,11,40,0.17543859649122806
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,12,22,0.09649122807017543
production_blend,all,0.2,0.20,False,228,9.618421052631579,10.0,13,5,0.021929824561403508
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,0,0,0.0
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,1,0,0.0
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,2,0,0.0
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,3,0,0.0
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,4,0,0.0
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,5,1,0.0043859649122807015
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,6,3,0.013157894736842105
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,7,20,0.08771929824561403
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,8,29,0.12719298245614036
