Scope,League,ModelWeight,OddsWeight,IsGridWeight,IsProductionWeight,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,IsOverallOptimum
league,E0,0.8,0.19999999999999996,True,False,553,0.5063291139240507,1.0220844908037605,0.6124853780723106,0.47739602169981915,0.26295482784921614,0.24954792043399637,0.18868658738905758,0.02519761017679345,0.00819071681608588,0.04188327203516905,0.01614925666607636,0.003893047324234561,0.027910091114552223,False
league,E0,0.85,0.15000000000000002,True,False,553,0.5063291139240507,1.025008881354362,0.6145858978034517,0.48282097649186256,0.2643528422298832,0.24954792043399637,0.18887702190938357,0.028122000727395013,0.009950303199924331,0.04586894587269342,0.018249776397217476,0.005183596160898818,0.0307470403406937,False
league,E0,0.9,0.09999999999999998,True,False,553,0.5099457504520796,1.0281076016401711,0.6168147929686529,0.4918625678119349,0.26575085661055026,0.24954792043399637,0.18908095566838992,0.031220721013204056,0.011928886152732026,0.04999843965057991,0.02047867156241867,0.006604554083574318,0.033811804973374424,False
league,E0,0.95,0.050000000000000044,True,False,553,0.5117540687160941,1.0313860264956918,0.6191720635679143,0.49005424954792043,0.26714887099121726,0.24954792043399637,0.1892983886660766,0.03449914586872471,0.013999782168620878,0.054249276334118,0.022835942161680056,0.008156888793105036,0.037017056292790805,False
league,E0,1.0,0.0,True,False,553,0.5045207956600362,1.0348503924132402,0.6216577096012358,0.49005424954792043,0.26854688537188437,0.24954792043399637,0.18952932090244362,0.03796351178627311,0.01629895320763077,0.05867686536175521,0.02532158819500152,0.00983027338448186,0.04033653892737996,False
league,E1,0.0,1.0,True,False,793,0.4703656998738966,1.0393938309354553,0.6263046187767424,0.5939470365699874,0.2660184700901318,0.25598991172761665,0.191460304292008,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,True
league,E1,0.05,0.95,True,False,793,0.4703656998738966,1.0396733008190964,0.6264281640836105,0.5535939470365699,0.26638127693709795,0.25598991172761665,0.19144422947186437,0.0002794698836410259,-0.0005105285935090409,0.000994134735401669,0.00012354530686808918,-0.0003886332973045081,0.0005865065850585771,False
league,E1,0.1,0.9,True,False,793,0.4691046658259773,1.040068981901232,0.6266301120933621,0.532156368221942,0.26674408378406406,0.25598991172761665,0.19143451279081317,0.0006751509657767496,-0.0008949647452639986,0.0021002290743647725,0.00032549331661968495,-0.0006990804182109622,0.0012512426337065647,False
league,E1,0.15,0.85,True,False,793,0.467843631778058,1.0405774441739113,0.626910462805997,0.5208070617906684,0.26710689063103016,0.25598991172761665,0.19143115424885424,0.0011836132384559495,-0.0011463785926827507,0.0033146849747845483,0.0006058440292546763,-0.0009313413627209888,0.0019900762552471024,False
league,E1,0.2,0.8,True,False,793,0.4691046658259773,1.041195894048943,0.6272692162215155,0.5170239596469105,0.26746969747799626,0.25598991172761665,0.19143415384598766,0.0018020631134876286,-0.0012720577479081894,0.004628003998377711,0.0009645974447731742,-0.0010861330446255146,0.002801414411700521,False
