League,Season,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
E0,2526,base/league_onehot,base,league_onehot,380,0.47368421052631576,1.0362401726427326,0.6234891217526279,0.4421052631578947,0.2606005569541303,0.2736842105263158,0.1991677032634113,0.017692739048288608,-0.007627215629831324,0.041732100164320225,0.011976914031290198,-0.005755386873446207,0.029400064437901767,6.1294307385217905e-06,-0.0025223742992084353,0.0026732884607895027,0.00017289976836187826,-0.00160262406114893,0.002028064686541586,0.00023357500269627351,-0.0016724411213819234,0.0022536287634317086,0.0003408745687591974,-0.0009912600012524058,0.001746248916546336
E0,2526,with_odds/league_none,with_odds,league_none,380,0.4789473684210526,1.0183468995013438,0.6113505993237172,0.6342105263157894,0.25872757731169443,0.2736842105263158,0.19919342348339106,-0.00020053409310016868,-0.01316291189715425,0.011293017406553163,-0.00016160839762058288,-0.008534294447091825,0.0076598991025276465,0.0,0.0,0.0,0.0,0.0,0.0,-1.815630913926114e-05,-0.0003659692873350523,0.00030646573733985867,-2.2410965142438677e-05,-0.00026040026599323806,0.000207516297296173
E0,2526,with_odds/league_ordinal,with_odds,league_ordinal,380,0.4789473684210526,1.018365055810483,0.6113730102888596,0.631578947368421,0.258551507334819,0.2736842105263158,0.19919257675973304,-0.00018237778396090754,-0.013023354238160461,0.011499024508082772,-0.0001391974324781442,-0.008565926425653975,0.0077085101867850605,1.815630913926114e-05,-0.00030646573733985883,0.00036596928733505213,2.2410965142438677e-05,-0.00020751629729617304,0.0002604002659932379,0.0,0.0,0.0,0.0,0.0,0.0
E0,2526,with_odds/league_onehot,with_odds,league_onehot,380,0.4763157894736842,1.018825029836552,0.611572745580005,0.6289473684210526,0.25893073594532046,0.2736842105263158,0.1991477470976505,0.0002775962421079914,-0.012695432686642994,0.011928544168614212,6.053785866722006e-05,-0.008244360633268822,0.008028917959235288,0.00047813033520816006,-0.0010947922190753412,0.0020099710651593013,0.00022214625628780293,-0.0008793191482917795,0.0013170276571060258,0.0004599740260688989,-0.0010508359881663098,0.001971567587006772,0.00019973529114536426,-0.0008475185184401657,0.0012580767832285052
E1,2425,Odds,reference,odds,241,0.4896265560165975,1.0344454176351432,0.6211841552769191,0.6348547717842323,0.2694175474037709,0.23651452282157676,0.1823178161591807,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E1,2425,base/league_none,base,league_none,241,0.46473029045643155,1.0510521093758207,0.6331596924814982,0.5477178423236515,0.2879546377880219,0.23651452282157676,0.1837911532823759,0.016606691740677526,-0.009118537436714591,0.04282748703594002,0.011975537204579112,-0.005897917887081561,0.030517725535228198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032890311905320324,-0.0007595575895097517,0.0001487212213206297,-0.00020363279527257916,-0.0004965544856256138,0.00012620495077974233
E1,2425,base/league_ordinal,base,league_ordinal,241,0.4730290456431535,1.051381012494874,0.6333633252767707,0.5518672199170125,0.2886863169532555,0.23651452282157676,0.18391048550687306,0.01693559485973073,-0.008944223355338354,0.043029369507546954,0.012179169999851691,-0.005746785362117699,0.030748578483187457,0.00032890311905320324,-0.00014872122132063013,0.0007595575895097516,0.00020363279527257916,-0.00012620495077974304,0.0004965544856256137,0.0,0.0,0.0,0.0,0.0,0.0
E1,2425,base/league_onehot,base,league_onehot,241,0.47717842323651455,1.0502400151478917,0.6324091193607229,0.6099585062240664,0.29417619646812837,0.23651452282157676,0.18459583429590298,0.015794597512748476,-0.011522883674286106,0.04285867976799677,0.011224964083803801,-0.007887425154459773,0.029967640246232087,-0.00081209422792905,-0.004693904157607709,0.0028299961671402122,-0.0007505731207753108,-0.003295060158834584,0.0016289798263832962,-0.0011409973469822532,-0.004802785695996325,0.002335910521229886,-0.00095420591604789,-0.003340945650826718,0.0013157445058115493
E1,2425,with_odds/league_none,with_odds,league_none,241,0.4854771784232365,1.0419972873018961,0.6258140121006639,0.6639004149377593,0.2861308728493275,0.23651452282157676,0.1831726126722128,0.0075518696667529195,-0.010248361001124367,0.025265482031118586,0.004629856823744838,-0.007866324290709886,0.016642670054574076,0.0,0.0,0.0,0.0,0.0,0.0,-9.209851609282005e-05,-0.000570795285465453,0.00036327408867439705,-1.6629592581973718e-05,-0.00033006387706271956,0.00029057940304282574
E1,2425,with_odds/league_ordinal,with_odds,league_ordinal,241,0.4854771784232365,1.042089385817989,0.6258306416932459,0.6597510373443983,0.28639509979664396,0.23651452282157676,0.1831476497703478,0.0076439681828457395,-0.010459632819214476,0.025543335331488014,0.004646486416326812,-0.00799121675526091,0.01685410714632728,9.209851609282005e-05,-0.0003632740886743979,0.000570795285465453,1.6629592581973718e-05,-0.000290579403042826,0.00033006387706271956,0.0,0.0,0.0,0.0,0.0,0.0
